Product,Generation,Available Space (GB),RAM (GB),Release Date,US Discontinued Date,Display Size,Screen Resolution,Height (mm),Width (mm),Depth (mm),Weight (grams),Rear Camera,Ultra Wide,Telephoto,Battery Capacity (mAh)
iPhone (1st generation),1,4,0.128,06/29/2007,7/15/2008,3.5,320×480,115.1,61,11.6,135,Single,FALSE,FALSE,1400
iPhone 3G,2,8,0.128,07/11/2008,6/7/2010,3.5,480×320,115.5,62.1,12.3,135,Single,FALSE,FALSE,1150
iPhone 3GS,3,8,0.256,06/19/2009,9/12/2012,3.5,480×320,115.5,62.1,12.3,135,Single,FALSE,FALSE,1120
iPhone 4,4,16,0.512,06/24/2010,09/10/2013,3.5,960×640,115.2,58.6,9.3,137,Single,FALSE,FALSE,1420
iPhone 4s,5,8,0.512,10/14/2011,09/09/2014,3.5,960×640,115.2,58.6,9.3,140,Single,FALSE,FALSE,1430
iPhone 5,6,16,1,09/21/2012,09/10/2013,4,"1,136×640",123.8,58.6,7.6,112,Single,FALSE,FALSE,1440
iPhone 5s,7,16,1,09/20/2013,03/21/2014,4,640×1136,123.8,58.6,7.6,112,Single,FALSE,FALSE,1560
iPhone 6,8,16,2,09/19/2014,09/07/2016,4.7,1920×1080,138.1,67,6.9,129,Single,FALSE,FALSE,1810
iPhone 6s,9,16,2,09/25/2015,09/07/2016,4.7,1334 × 750,138.3,67.1,7.1,143,Single,FALSE,FALSE,1715
iPhone 7,10,32,2,09/16/2016,09/10/2019,4.7,1334×750,138.3,67.1,7.1,138,Single,FALSE,FALSE,1960
iPhone 8,11,64,2,09/22/2017,04/15/2020,4.7,1334×750,138.4,67.3,7.3,148,Single,FALSE,FALSE,1821
iPhone X,12,64,3,11/03/2017,09/12/2018,5.8,2436×1125,143.6,70.9,7.7,174,Dual,FALSE,TRUE,2716
iPhone 11,13,64,4,09/20/2019,09/07/2022,6.1,1792×828,150.9,75.7,8.3,194,Dual,TRUE,FALSE,3110
iPhone 12,14,64,6,10/23/2020,09/12/2023,6.1,2532×1170,146.7,71.5,7.4,164,Dual,TRUE,FALSE,2815
iPhone 13,15,128,6,09/24/2021,09/09/2024,6.1,2532×1170,146.7,71.5,7.8,174,Dual,TRUE,FALSE,3227
iPhone 14,16,128,6,09/16/2022,,6.1,2532 × 1170 ,146.7,71.5,7.8,172,Dual,TRUE,FALSE,3279
iPhone 15,17,128,6,9/22/2023,,6.1,2556 × 1179,147.6,71.6,7.8,171,Dual,TRUE,FALSE,3349
iPhone 16,18,128,8,9/20/2024,,6.1,1179 x 2556,147.6,71.6,7.8,170,Dual,TRUE,FALSE,3561
Galaxy S,1,8,0.512,6/4/2010,3/6/2012,4,800x480,122.4,64.2,9.9,118,Single,FALSE,FALSE,1500
Galaxy S II,2,16,1,5/2/2011,,4.3,800x480,125.3,66.1,8.49,116,Single,FALSE,FALSE,1650
Galaxy S III,3,16,1,5/29/2012,,4.8,1280x720,136.6,70.6,8.6,133,Single,FALSE,FALSE,2100
Galaxy S4,4,16,2,4/27/2013,,5,1920x1080,136.6,69.8,7.9,130,Single,FALSE,FALSE,2600
Galaxy S5,5,16,2,4/11/2014,,5.1,1920x1080,142,72.5,8.1,145,Single,FALSE,FALSE,2800
Galaxy S6,6,32,3,4/10/2015,2/11/2016,5.1,2560x1440,143.4,70.5,6.8,138,Single,FALSE,FALSE,2550
Galaxy S7,7,32,4,3/11/2016,4/21/2017,5.1,2560x1440,142.4,69.6,7.9,152,Single,FALSE,FALSE,3000
Galaxy S8,8,64,4,4/21/2017,3/11/2018,5.8,2960x1440,148.9,68.1,8,152,Single,FALSE,FALSE,3000
Galaxy S9,9,64,4,3/11/2018,2/20/2019,5.8,2960x1440,147.7,68.7,8.5,163,Single,FALSE,FALSE,3000
Galaxy S10,10,128,8,3/4/2019,3/6/2020,6.1,3040x1440,149.9,70.4,7.8,157,Triple,TRUE,TRUE,3400
Galaxy S20,11,128,12,3/6/2020,1/29/2021,6.2,3040x1440,151.7,69.1,7.9,163,Triple,TRUE,TRUE,4000
Galaxy S21,12,128,8,1/29/2021,2/25/2022,6.2,1080x2400,155.7,74.5,7.9,177,Triple,TRUE,TRUE,4500
Galaxy S22,13,128,8,2/25/2022,2/17/2023,6.1,1080x2340,146,70.6,7.6,167,Triple,TRUE,TRUE,3700
Galaxy S23,14,128,8,2/17/2023,1/31/2024,6.1,2340 x 1080,146.3,70.9,7.6,168,Triple,TRUE,TRUE,3900
Galaxy S24,15,128,8,1/31/2024,,6.2,2340 x 1080,147,70.6,7.6,168,Triple,TRUE,TRUE,4000